label_name,r,p
Right-Lateral-Ventricle,0.6907260468005977,9.924742893715586e-286
Left-Lateral-Ventricle,0.6489831926017519,2.742287328872e-241
Left-Cerebellum-Cortex,-0.5212457892430282,8.899582981008339e-141
Right-Cerebellum-Cortex,-0.5174294882998693,2.114343568914361e-138
Right-Putamen,-0.34182916029028426,2.5097864169296563e-56
Right-Thalamus-Proper,-0.3342171899462598,9.436465151468578e-54
3rd-Ventricle,0.3136276995137981,3.0999206491762696e-47
Brain-Stem,-0.3087206611236285,9.465972651247203e-46
Right-Hippocampus,-0.3027158408901243,5.688504720643182e-44
CSF,0.29259647228158686,4.559914143161149e-41
Left-Hippocampus,-0.2841219373327066,1.0040441253042204e-38
Left-Putamen,-0.27396692290506147,5.057703254302753e-36
Left-Accumbens-area,-0.26038516053603755,1.3871989803193115e-32
Left-Inf-Lat-Vent,0.25836843731135467,4.3227222981437316e-32
Right-Pallidum,-0.2569024770723197,9.814119651517162e-32
Left-Cerebellum-White-Matter,-0.24833229796906217,1.0668974889446431e-29
Left-Thalamus-Proper,-0.24678095649894943,2.5247429489355993e-29
Left-Amygdala,-0.24605444932757503,3.6004267061841944e-29
Right-Cerebellum-White-Matter,-0.23718233966128682,3.650424233659256e-27
Right-Amygdala,-0.23679013582965544,4.458024775908332e-27
Left-Caudate,-0.22359775352914857,3.0002907853972793e-24
Right-Accumbens-area,-0.2218606732520549,6.860906848638535e-24
Right-Caudate,-0.1428564386387804,1.1811711695185526e-10
Left-Pallidum,-0.05097040868398498,0.022133705718808704
Right-Inf-Lat-Vent,7.148788177350419e-05,0.9974411802290131
