"label","r","p_value","p_value_corrected","significant"
"lh_bankssts",-0.151330660338775,4.29760566471134e-11,2.92237185200371e-09,"yes"
"lh_caudalanteriorcingulate",-0.0713921807088514,0.00195780110645932,0.133130475239234,"no"
"lh_caudalmiddlefrontal",0.0348518650506182,0.130994348625627,8.90761570654266,"no"
"lh_cuneus",-0.246634191021121,1.95310198357151e-27,1.32810934882863e-25,"yes"
"lh_entorhinal",-0.198899312140388,3.29515586529052e-18,2.24070598839755e-16,"yes"
"lh_fusiform",-0.39214284623767,4.12503228890181e-70,2.80502195645323e-68,"yes"
"lh_inferiorparietal",-0.350266707999759,2.34304845144338e-55,1.5932729469815e-53,"yes"
"lh_inferiortemporal",-0.39808638791936,2.18994675964236e-72,1.48916379655681e-70,"yes"
"lh_isthmuscingulate",-0.0818689377547742,0.000381717750197099,0.0259568070134027,"yes"
"lh_lateraloccipital",-0.374645219943386,1.11358676922712e-63,7.57239003074442e-62,"yes"
"lh_lateralorbitofrontal",-0.345450772111101,8.49921830549413e-54,5.77946844773601e-52,"yes"
"lh_lingual",-0.127759592178625,2.74212380521616e-08,1.86464418754699e-06,"yes"
"lh_medialorbitofrontal",-0.305590273571757,6.59173961411568e-42,4.48238293759866e-40,"yes"
"lh_middletemporal",-0.291746558682093,3.46490806132054e-38,2.35613748169796e-36,"yes"
"lh_parahippocampal",-0.200785739286014,1.53076139528348e-18,1.04091774879277e-16,"yes"
"lh_paracentral",0.103730187168382,6.61843953996524e-06,0.000450053888717636,"yes"
"lh_parsopercularis",-0.00511232803355691,0.824734061572437,56.0819161869257,"no"
"lh_parsorbitalis",-0.123313190497296,8.22007517473675e-08,5.58965111882099e-06,"yes"
"lh_parstriangularis",-0.000140181104013477,0.995154917653916,67.6705344004663,"no"
"lh_pericalcarine",-0.119519491257688,2.03566854802186e-07,1.38425461265487e-05,"yes"
"lh_postcentral",0.0167317435608812,0.46854636307168,31.8611526888742,"no"
"lh_posteriorcingulate",-0.0269639657335543,0.242704597238488,16.5039126122172,"no"
"lh_precentral",-0.0109611123796426,0.634905172350741,43.1735517198504,"no"
"lh_precuneus",-0.210780292469476,2.5915384194747e-20,1.7622461252428e-18,"yes"
"lh_rostralanteriorcingulate",-0.308208775353739,1.23632436075983e-42,8.40700565316683e-41,"yes"
"lh_rostralmiddlefrontal",-0.248939884280774,6.17392012665283e-28,4.19826568612392e-26,"yes"
"lh_superiorfrontal",-0.176435403660495,1.32451523691639e-14,9.00670361103144e-13,"yes"
"lh_superiorparietal",-0.0916875885017159,6.88680974049457e-05,0.00468303062353631,"yes"
"lh_superiortemporal",-0.276380351005419,2.71449723293211e-34,1.84585811839383e-32,"yes"
"lh_supramarginal",-0.126813667870385,3.47453126050975e-08,2.36268125714663e-06,"yes"
"lh_frontalpole",-0.203501047615739,5.16085823760545e-19,3.5093836015717e-17,"yes"
"lh_temporalpole",-0.00211116081967251,0.927132961972169,63.0450414141075,"no"
"lh_transversetemporal",-0.0517868978889519,0.0247783005529118,1.684924437598,"no"
"lh_insula",-0.11759374807705,3.19206017055048e-07,2.17060091597433e-05,"yes"
"rh_bankssts",-0.0201818547543403,0.381933940322273,25.9715079419146,"no"
"rh_caudalanteriorcingulate",-0.1029755985966,7.72554806198016e-06,0.000525337268214651,"yes"
"rh_caudalmiddlefrontal",0.103036049267774,7.63071005567572e-06,0.000518888283785949,"yes"
"rh_cuneus",-0.191163173008751,6.37306288008144e-17,4.33368275845538e-15,"yes"
"rh_entorhinal",-0.221988495890517,2.07652738587361e-22,1.41203862239406e-20,"yes"
"rh_fusiform",-0.322755470587993,8.27067748890609e-47,5.62406069245614e-45,"yes"
"rh_inferiorparietal",-0.363659616363755,7.71072500122546e-60,5.24329300083331e-58,"yes"
"rh_inferiortemporal",-0.00619099919299041,0.788554678101695,53.6217181109152,"no"
"rh_isthmuscingulate",-0.0817128333526143,0.000391698180797138,0.0266354762942054,"yes"
"rh_lateraloccipital",-0.362907333823259,1.39520634084502e-59,9.4874031177461e-58,"yes"
"rh_lateralorbitofrontal",-0.156961182757251,7.82121369203918e-12,5.31842531058664e-10,"yes"
"rh_lingual",-0.160110552891736,2.93413185209922e-12,1.99520965942747e-10,"yes"
"rh_medialorbitofrontal",-0.309172711793021,6.64786360190776e-43,4.52054724929728e-41,"yes"
"rh_middletemporal",0.110566464665025,1.55278616524176e-06,0.00010558945923644,"yes"
"rh_parahippocampal",-0.21021735890508,3.27918852519065e-20,2.22984819712964e-18,"yes"
"rh_paracentral",0.0767628392075008,0.000867922684647625,0.0590187425560385,"no"
"rh_parsopercularis",-0.0412184647569986,0.0740531550471401,5.03561454320553,"no"
"rh_parsorbitalis",0.104789288159255,5.31735701738764e-06,0.00036158027718236,"yes"
"rh_parstriangularis",0.066484255432372,0.00393664450138634,0.267691826094271,"no"
"rh_pericalcarine",-0.107330808145115,3.11793252479934e-06,0.000212019411686355,"yes"
"rh_postcentral",0.00262130204669922,0.909593495739613,61.8523577102937,"no"
"rh_posteriorcingulate",-0.06016641182558,0.00908902113495999,0.618053437177279,"no"
"rh_precentral",0.0215479103387441,0.350544616988089,23.8370339551901,"no"
"rh_precuneus",-0.129356700632833,1.83151071193925e-08,1.24542728411869e-06,"yes"
"rh_rostralanteriorcingulate",-0.239335349272155,6.91820305751858e-26,4.70437807911263e-24,"yes"
"rh_rostralmiddlefrontal",-0.145472963552861,2.3670751906671e-10,1.60961112965363e-08,"yes"
"rh_superiorfrontal",-0.231195888951834,3.21541680945984e-24,2.18648343043269e-22,"yes"
"rh_superiorparietal",-0.185277225393877,5.67305252751798e-16,3.85767571871223e-14,"yes"
"rh_superiortemporal",-0.0472046896180111,0.0407582351661049,2.77155999129513,"no"
"rh_supramarginal",-0.165016719598151,6.12422514493907e-13,4.16447309855857e-11,"yes"
"rh_frontalpole",-0.244430869491377,5.80557423454082e-27,3.94779047948776e-25,"yes"
"rh_temporalpole",0.0533218793957965,0.0208067444474349,1.41485862242558,"no"
"rh_transversetemporal",-0.0564440237552553,0.0144040318648912,0.979474166812603,"no"
"rh_insula",-0.110967443598152,1.42232107702383e-06,9.67178332376204e-05,"yes"
